SUBNO,SEX,AGEGRP,RACEGRP,WEIGHTKG,STATURE,HEADCIRC,BITCOR,BITFRONT,BITSUBN,BITCHIN,NECKCIRC,HEADBR,HEADLTH,MINFRBR,MAXFRBR,BIZYGOBR,BIGONLBR,NROOTBR,NOSEBR,LIPLTH,SUBNASAL,MENSELL,NOSEPRO,INTPUPBR,
327,1,3,1,99.8,"1,825",580,350,315,310,340,"-9,999",150,204,105,110,145,130,15,37,54,53,120,21,63.5,
328,1,3,1,96.8,"1,804",585,368,315,295,332,"-9,999",152,200,109,114,140,126,16,43,51,53,123,22,65.0,
329,1,3,1,89.6,"1,715",575,355,320,305,340,"-9,999",160,194,115,118,150,133,16,39,53,54,122,20,69.5,
330,1,3,1,108.2,"1,750",598,375,325,310,350,"-9,999",164,202,115,121,"-9,999",130,17,36,56,47,130,20,61.5,
331,1,3,1,79.4,"1,752",568,355,303,293,333,"-9,999",153,199,103,113,143,120,17,31,49,46,121,20,67.0,
332,2,2,1,76.0,"1,657",545,350,290,282,305,"-9,999",146,184,107,114,133,116,14,31,51,46,113,24,61.5,
333,1,3,1,86.9,"1,745",577,367,315,305,330,"-9,999",156,198,115,118,149,113,14,32,56,47,107,20,62.0,
334,1,3,1,90.3,"1,695",595,364,333,316,358,"-9,999",158,207,115,121,154,142,18,41,57,53,133,22,68.0,
335,1,3,1,73.0,"1,696",575,350,312,300,330,"-9,999",153,200,110,113,143,127,17,32,54,47,123,19,64.5,
336,1,2,1,94.1,"1,829",605,360,313,302,340,"-9,999",156,215,117,121,142,123,16,42,55,52,127,25,70.5,
337,2,3,1,81.6,"1,600",554,365,300,280,310,"-9,999",158,184,109,110,147,135,15,34,42,47,112,19,59.5,
338,1,2,1,108.0,"1,920",596,385,323,310,350,"-9,999",165,203,115,121,158,142,17,37,49,48,123,21,71.0,
339,2,3,1,68.9,"1,660",560,358,293,280,308,"-9,999",145,194,110,113,138,115,15,36,49,50,108,18,63.0,
340,1,1,1,72.3,"1,791",585,356,305,315,348,"-9,999",153,206,114,117,144,120,17,36,56,47,121,21,65.0,
341,1,3,4,130.2,"1,807",585,380,310,314,358,"-9,999",167,196,115,120,157,148,15,48,59,51,127,19,65.5,
342,2,2,1,56.9,"1,671",546,340,280,264,290,"-9,999",146,187,102,106,127,107,13,31,41,45,116,20,60.0,
343,1,3,1,105.7,"1,738",560,350,295,283,315,"-9,999",157,192,101,108,140,131,14,36,48,55,124,21,59.5,
344,2,1,4,49.2,"1,536",550,362,298,290,315,"-9,999",149,184,95,105,144,115,19,33,48,46,117,18,64.0,
345,1,2,2,102.1,"1,703",587,365,315,310,350,"-9,999",160,202,116,124,150,145,17,44,53,51,126,21,77.0,
346,1,3,1,78.0,"1,659",575,350,292,285,322,"-9,999",167,190,107,112,151,132,15,34,54,50,122,20,56.0,
347,1,3,1,76.7,"1,810",560,345,305,295,325,"-9,999",152,191,113,118,143,115,17,42,50,60,129,25,66.5,
348,1,3,1,89.3,"1,760",565,370,300,300,335,"-9,999",158,185,120,125,153,135,16,39,52,51,125,20,67.0,
349,1,3,1,79.4,"1,697",605,370,340,318,340,"-9,999",153,218,113,117,146,130,18,38,55,51,123,21,69.5,
350,1,3,1,99.3,"1,784",594,355,315,300,340,"-9,999",157,209,113,116,155,135,16,38,52,46,116,18,72.0,
351,1,3,1,77.8,"1,681",560,346,313,299,332,"-9,999",148,196,108,112,139,114,16,42,52,47,113,21,69.5,
352,1,3,1,85.5,"1,813",560,366,300,291,326,"-9,999",154,192,100,107,139,107,16,34,50,66,129,21,61.5,
353,1,3,1,93.9,"1,756",567,356,292,295,325,"-9,999",153,194,107,115,137,114,18,43,47,52,122,23,64.5,
354,1,3,1,100.0,"1,923",570,357,319,305,350,"-9,999",162,191,114,120,146,120,17,39,51,52,131,22,67.0,
355,1,3,1,85.7,"1,637",575,331,295,302,342,"-9,999",154,196,115,120,142,115,15,39,52,51,114,19,66.0,
356,1,3,1,93.7,"1,728",570,350,305,297,334,"-9,999",155,191,110,111,142,119,17,42,45,49,122,21,66.0,
357,1,3,1,121.1,"1,740",575,345,305,320,355,"-9,999",160,194,110,113,154,138,17,46,55,50,120,24,63.5,
358,1,3,1,67.7,"1,602",553,340,291,286,320,"-9,999",149,191,106,106,136,117,15,37,47,47,105,18,61.5,
359,1,2,1,91.8,"1,742",566,360,300,290,316,"-9,999",160,188,107,117,146,124,16,50,50,50,119,21,67.5,
360,1,3,1,103.9,"1,802",593,362,315,309,359,"-9,999",158,197,116,121,150,133,18,35,51,55,125,21,69.0,
361,1,3,2,124.9,"1,764",614,383,334,329,343,"-9,999",160,209,122,127,154,135,18,54,57,62,148,21,75.0,
362,1,3,1,86.2,"1,880",583,362,303,296,340,"-9,999",155,206,105,111,141,115,17,38,45,52,123,24,65.0,
363,1,3,1,110.1,"1,826",590,377,318,312,340,"-9,999",165,200,112,123,156,136,17,36,49,50,120,17,66.0,
364,1,3,2,92.2,"1,715",577,352,290,298,360,"-9,999",152,203,102,108,141,128,14,44,48,51,135,18,63.5,
365,1,3,1,93.8,"1,749",563,349,295,285,309,"-9,999",155,187,114,116,146,116,15,34,40,57,120,24,63.5,
366,1,3,1,100.4,"1,747",585,343,309,311,355,"-9,999",155,204,115,119,148,135,15,35,54,57,127,20,65.0,
367,1,3,4,109.3,"1,842",592,342,319,336,359,"-9,999",155,206,112,121,151,124,15,45,52,53,122,17,66.5,
368,1,3,1,113.1,"1,667",570,352,300,281,310,"-9,999",155,195,106,110,137,121,18,35,45,49,115,18,62.0,
369,1,3,4,111.6,"1,854",581,347,297,305,357,"-9,999",150,205,105,109,144,124,15,47,52,52,125,18,69.5,
370,1,3,1,129.3,"1,776",588,370,323,310,345,"-9,999",167,205,111,116,159,140,18,35,50,56,133,23,68.0,
371,1,3,4,90.4,"1,770",567,340,310,305,355,"-9,999",151,195,102,114,146,118,16,49,57,54,126,17,68.0,
372,1,3,2,94.5,"1,746",545,320,293,285,335,"-9,999",140,197,100,104,137,108,14,30,52,53,129,22,63.0,
373,1,3,1,96.1,"1,732",580,365,310,285,335,"-9,999",147,199,107,111,142,119,14,37,56,58,117,22,63.5,
374,1,3,1,99.6,"1,812",566,350,310,300,345,"-9,999",145,197,105,111,145,124,13,46,54,63,129,25,62.0,
375,1,2,4,106.1,"1,794",561,334,300,295,340,"-9,999",144,195,95,105,134,116,14,34,51,52,118,25,59.5,
376,1,3,1,94.4,"1,830",572,350,310,295,340,"-9,999",150,205,103,110,142,115,13,34,60,64,137,32,62.0,
377,1,2,1,76.9,"1,635",555,335,290,285,320,"-9,999",143,190,91,96,136,124,15,33,50,49,117,19,64.0,
378,1,3,2,84.4,"1,754",575,340,300,303,340,"-9,999",150,201,99,105,140,121,13,51,59,52,131,17,64.5,
379,1,3,2,71.0,"1,647",544,315,280,270,315,"-9,999",141,192,102,105,130,105,14,45,52,49,118,20,63.5,
380,1,3,1,91.7,"1,780",561,335,305,295,330,"-9,999",145,195,105,107,136,115,15,35,54,53,112,30,63.0,
